,bathroom,bedroom,buildingarea,car,date,distance,landsize,lattitude,longtitude,price,propertycount,rooms,type,yearbuilt
58,2.0,3.0,85.0,2.0,2016-06-12,3.3,0.0,-37.8451,144.9511,1370000.0,3280.0,3,2,2000.0
59,1.0,2.0,98.0,0.0,2016-10-15,3.3,149.0,-37.8443,144.9481,1322500.0,3280.0,2,2,1890.0
60,1.0,2.0,83.0,0.0,2016-10-15,3.3,141.0,-37.8424,144.9562,1562500.0,3280.0,2,2,1890.0
61,2.0,3.0,147.0,1.0,2016-04-16,3.3,211.0,-37.847,144.9575,2000000.0,3280.0,3,2,1900.0
62,2.0,3.0,146.0,0.0,2017-03-18,3.3,147.0,-37.8473,144.9551,3010000.0,3280.0,3,2,1890.0
63,3.0,4.0,254.0,1.0,2016-06-18,3.3,327.0,-37.8467,144.9475,2800000.0,3280.0,4,2,1910.0
64,1.0,2.0,123.0,1.0,2016-04-23,3.3,120.0,-37.8427,144.9546,2100000.0,3280.0,3,2,1900.0
65,1.0,3.0,131.0,1.0,2016-09-24,3.3,238.0,-37.8461,144.9528,2000000.0,3280.0,3,2,1890.0
66,1.0,1.0,34.0,0.0,2017-02-25,3.3,0.0,-37.8421,144.9517,442500.0,3280.0,1,3,1970.0
67,2.0,4.0,207.0,1.0,2017-02-25,3.3,330.0,-37.8477,144.9558,4735000.0,3280.0,4,2,1910.0
68,2.0,3.0,145.0,1.0,2016-06-27,3.3,183.0,-37.8434,144.9495,2140000.0,3280.0,4,2,1880.0
69,1.0,2.0,68.0,0.0,2016-05-28,3.3,79.0,-37.8387,144.9519,980000.0,3280.0,2,2,1890.0
70,2.0,3.0,134.0,2.0,2016-08-28,3.3,147.0,-37.8448,144.9453,1740000.0,3280.0,3,2,1890.0
71,1.0,1.0,54.0,0.0,2016-07-30,3.3,81.0,-37.8411,144.9497,985000.0,3280.0,1,2,1900.0
72,2.0,3.0,263.0,4.0,2016-09-03,6.4,853.0,-37.7707,145.0318,2000000.0,2211.0,4,2,1930.0
73,2.0,4.0,203.0,1.0,2016-10-08,6.4,599.0,-37.7717,145.031,1717500.0,2211.0,4,2,1925.0
74,4.0,5.0,165.0,4.0,2016-06-12,6.4,809.0,-37.775,145.0268,2840000.0,2211.0,5,2,1910.0
75,1.0,2.0,60.0,1.0,2016-11-12,6.4,88.0,-37.7791,145.0306,525500.0,2211.0,2,3,1960.0
76,2.0,2.0,140.0,3.0,2016-11-12,6.4,155.0,-37.7804,145.0308,805000.0,2211.0,2,4,2004.0
77,2.0,4.0,112.0,2.0,2016-11-19,6.4,606.0,-37.7743,145.0316,1830000.0,2211.0,4,2,1970.0
78,2.0,4.0,271.0,2.0,2016-11-19,6.4,575.0,-37.7723,145.0319,2100000.0,2211.0,4,2,2008.0
79,1.0,3.0,131.0,1.0,2016-05-22,6.4,180.0,-37.7802,145.0243,865000.0,2211.0,3,2,2010.0
80,1.0,2.0,60.0,1.0,2016-05-22,6.4,0.0,-37.7773,145.0314,390000.0,2211.0,2,3,1960.0
81,1.0,2.0,61.0,1.0,2017-02-25,6.4,0.0,-37.7805,145.0262,512000.0,2211.0,2,3,1965.0
82,2.0,4.0,272.0,2.0,2016-11-27,6.4,556.0,-37.7844,145.0225,1900000.0,2211.0,4,2,1930.0
83,2.0,4.0,210.0,3.0,2016-07-30,6.4,589.0,-37.7719,145.0309,1950000.0,2211.0,4,2,1920.0
84,2.0,3.0,242.0,1.0,2016-09-03,13.8,352.0,-37.87,144.825,520000.0,5301.0,3,2,2015.0
85,3.0,5.0,268.0,3.0,2016-12-03,13.8,729.0,-37.8721,144.8105,1525000.0,5301.0,5,2,2005.0
86,1.0,2.0,125.0,2.0,2016-02-04,13.8,292.0,-37.8687,144.8197,720000.0,5301.0,2,4,2013.0
87,1.0,3.0,120.0,2.0,2017-03-04,13.8,506.0,-37.8693,144.8375,1120000.0,5301.0,3,2,1930.0
88,3.0,4.0,220.0,6.0,2016-06-04,13.8,1057.0,-37.8681,144.819,1780000.0,5301.0,4,2,1962.0
89,1.0,2.0,94.0,2.0,2016-08-06,13.8,311.0,-37.8702,144.8143,630000.0,5301.0,3,3,1955.0
90,1.0,3.0,123.0,1.0,2016-05-07,13.8,602.0,-37.8616,144.8116,660000.0,5301.0,3,2,1955.0
91,1.0,2.0,93.0,1.0,2016-10-08,13.8,225.0,-37.8696,144.827,580000.0,5301.0,2,3,1988.0
92,1.0,3.0,22.0,4.0,2016-10-08,13.8,777.0,-37.8697,144.8249,1335000.0,5301.0,3,2,1953.0
93,1.0,2.0,76.0,1.0,2016-09-10,13.8,127.0,-37.8686,144.8182,510000.0,5301.0,2,3,1990.0
94,1.0,2.0,57.0,2.0,2016-09-10,13.8,115.0,-37.871,144.8185,425000.0,5301.0,2,3,1980.0
95,1.0,2.0,65.0,1.0,2017-02-11,13.8,0.0,-37.8678,144.8384,391000.0,5301.0,2,3,1965.0
96,1.0,4.0,130.0,2.0,2017-02-11,13.8,745.0,-37.8658,144.8155,845000.0,5301.0,4,2,1950.0
97,2.0,3.0,141.0,1.0,2016-08-13,13.8,69.0,-37.868,144.8286,730000.0,5301.0,3,3,2014.0
98,1.0,2.0,77.0,1.0,2016-10-15,13.8,137.0,-37.8655,144.8299,447000.0,5301.0,2,3,1990.0
99,1.0,3.0,87.0,2.0,2016-04-16,13.8,606.0,-37.8608,144.8124,678000.0,5301.0,3,2,1950.0
100,2.0,2.0,76.0,1.0,2016-07-16,13.8,175.0,-37.8687,144.8268,580000.0,5301.0,2,3,2013.0
101,2.0,3.0,136.0,2.0,2017-03-18,13.8,534.0,-37.86,144.8245,840000.0,5301.0,3,2,1965.0
102,2.0,3.0,113.0,1.0,2016-04-23,13.8,205.0,-37.8684,144.815,577000.0,5301.0,3,3,2007.0
103,2.0,2.0,100.0,1.0,2016-11-27,13.8,675.0,-37.8653,144.8129,857000.0,5301.0,2,2,1950.0
104,2.0,3.0,3.0,1.0,2016-05-28,13.8,70.0,-37.868,144.8285,730000.0,5301.0,3,3,2014.0
105,1.0,2.0,91.0,1.0,2016-07-30,13.8,154.0,-37.8646,144.8272,535600.0,5301.0,2,2,1996.0
106,3.0,5.0,251.0,6.0,2016-09-03,11.1,592.0,-37.8388,144.8567,1085000.0,5132.0,5,2,1965.0
107,1.0,3.0,117.0,2.0,2016-09-03,11.1,533.0,-37.8291,144.835,781000.0,5132.0,3,2,1970.0
108,1.0,2.0,77.0,1.0,2017-03-04,11.1,77.0,-37.8351,144.8529,421000.0,5132.0,2,4,2009.0
109,1.0,3.0,167.0,2.0,2016-06-04,11.1,534.0,-37.8284,144.8355,683000.0,5132.0,3,2,1967.0
110,2.0,3.0,130.0,1.0,2016-08-06,11.1,0.0,-37.8379,144.8583,720000.0,5132.0,3,2,2012.0
111,1.0,3.0,118.0,1.0,2016-05-07,11.1,328.0,-37.838,144.8555,588000.0,5132.0,3,2,1970.0
112,1.0,3.0,116.0,3.0,2016-11-07,11.1,540.0,-37.8294,144.8378,710000.0,5132.0,3,2,1960.0
113,1.0,3.0,169.0,4.0,2016-10-08,11.1,559.0,-37.8448,144.8529,875000.0,5132.0,4,2,1965.0
114,2.0,3.0,109.0,2.0,2016-05-14,11.1,171.0,-37.8337,144.8554,675000.0,5132.0,3,2,2012.0
115,1.0,3.0,97.0,2.0,2016-10-15,11.1,585.0,-37.8258,144.8523,708000.0,5132.0,3,2,1960.0
116,2.0,4.0,170.0,4.0,2016-05-22,11.1,315.0,-37.8391,144.8467,693000.0,5132.0,4,2,2008.0
117,2.0,5.0,100.0,2.0,2016-08-22,11.1,276.0,-37.8262,144.8443,620000.0,5132.0,3,2,2010.0
118,1.0,3.0,157.0,1.0,2016-08-22,11.1,531.0,-37.8277,144.8385,728500.0,5132.0,3,2,1960.0
119,2.0,3.0,160.0,1.0,2016-08-22,11.1,590.0,-37.8382,144.8649,931000.0,5132.0,3,2,1950.0
120,2.0,3.0,130.0,3.0,2017-02-25,11.1,555.0,-37.8318,144.8388,815000.0,5132.0,3,2,1960.0
121,1.0,4.0,158.0,4.0,2016-11-27,11.1,633.0,-37.8375,144.8541,1200000.0,5132.0,4,2,1960.0
122,1.0,2.0,70.0,1.0,2016-08-28,11.1,153.0,-37.8332,144.8649,292000.0,5132.0,2,3,1970.0
123,1.0,2.0,76.0,1.0,2016-09-03,6.3,0.0,-37.8543,145.0262,599000.0,4836.0,2,3,1964.0
124,2.0,3.0,100.0,2.0,2016-12-03,6.3,0.0,-37.8552,145.016,995000.0,4836.0,3,3,1998.0
125,2.0,3.0,105.0,2.0,2016-12-03,6.3,101.0,-37.854,145.0135,1205000.0,4836.0,3,4,2000.0
126,2.0,3.0,150.0,2.0,2016-12-03,6.3,296.0,-37.8614,145.0274,1939000.0,4836.0,3,2,1889.0
127,1.0,3.0,116.0,1.0,2017-03-04,6.3,217.0,-37.8592,145.0182,1870000.0,4836.0,3,2,1888.0
128,2.0,3.0,165.0,2.0,2017-03-04,6.3,0.0,-37.8537,145.0267,1918000.0,4836.0,3,4,1995.0
129,2.0,3.0,116.0,1.0,2017-03-04,6.3,205.0,-37.8574,145.0281,2050000.0,4836.0,3,2,1910.0
130,2.0,3.0,14.0,1.0,2016-05-07,6.3,2113.0,-37.8543,145.0262,735000.0,4836.0,3,3,1970.0
131,2.0,2.0,107.0,1.0,2016-10-08,6.3,144.0,-37.8564,145.0228,1435000.0,4836.0,1,2,1900.0
132,1.0,1.0,38.0,1.0,2016-09-10,6.3,0.0,-37.8619,145.0185,280000.0,4836.0,1,3,1975.0
133,1.0,2.0,73.0,1.0,2016-12-10,6.3,0.0,-37.8574,145.0174,592500.0,4836.0,2,3,1970.0
134,1.0,2.0,96.0,0.0,2016-11-12,6.3,249.0,-37.8543,145.016,1210000.0,4836.0,2,2,1910.0
135,2.0,4.0,222.0,2.0,2016-11-12,6.3,624.0,-37.8536,145.0173,2801000.0,4836.0,4,2,1900.0
136,2.0,3.0,121.0,2.0,2016-10-15,6.3,405.0,-37.8545,145.0145,1800000.0,4836.0,3,2,1910.0
137,1.0,4.0,163.0,2.0,2016-10-15,6.3,495.0,-37.8613,145.0264,2200000.0,4836.0,4,2,1900.0
138,3.0,5.0,516.0,4.0,2016-09-17,6.3,1491.0,-37.8602,145.013,5525000.0,4836.0,6,2,1935.0
139,1.0,1.0,53.0,1.0,2017-03-18,6.3,0.0,-37.8531,145.0115,440000.0,4836.0,1,3,1970.0
140,1.0,2.0,106.0,2.0,2016-06-18,6.3,212.0,-37.8542,145.0149,1300000.0,4836.0,3,2,1900.0
141,1.0,2.0,74.0,1.0,2016-11-19,6.3,0.0,-37.8573,145.0186,704000.0,4836.0,2,3,1969.0
142,1.0,3.0,98.0,1.0,2016-11-19,6.3,0.0,-37.8596,145.0198,620000.0,4836.0,2,3,1970.0
143,1.0,3.0,108.0,2.0,2016-05-22,6.3,328.0,-37.8559,145.0158,1900000.0,4836.0,3,2,1900.0
144,1.0,2.0,80.0,1.0,2017-02-25,6.3,2471.0,-37.8573,145.0186,710000.0,4836.0,2,3,1970.0
145,1.0,2.0,88.0,1.0,2017-02-25,6.3,0.0,-37.8593,145.0156,598000.0,4836.0,2,3,1970.0
146,1.0,3.0,80.0,2.0,2017-02-25,6.3,186.0,-37.8554,145.0173,1285000.0,4836.0,3,2,1920.0
147,1.0,1.0,76.0,1.0,2016-06-27,6.3,0.0,-37.8618,145.0183,520000.0,4836.0,2,3,1970.0
148,1.0,4.0,251.0,2.0,2016-11-27,6.3,709.0,-37.8574,145.016,3625000.0,4836.0,4,2,1900.0
149,3.0,4.0,333.0,3.0,2016-11-27,6.3,563.0,-37.8582,145.0138,4200000.0,4836.0,4,2,2000.0
150,1.0,3.0,3.0,2.0,2016-11-27,6.3,103.0,-37.8542,145.0135,1101000.0,4836.0,3,4,2000.0
151,2.0,3.0,285.0,2.0,2016-11-27,6.3,617.0,-37.8557,145.0264,3512500.0,4836.0,3,2,1998.0
152,1.0,2.0,91.0,1.0,2016-05-28,6.3,0.0,-37.853,145.0264,869000.0,4836.0,3,3,1940.0
153,1.0,1.0,53.0,1.0,2016-08-28,6.3,0.0,-37.8549,145.0113,567000.0,4836.0,1,3,2013.0
154,1.0,3.0,108.0,2.0,2016-12-03,5.9,298.0,-37.7777,144.9195,940000.0,6567.0,3,2,1920.0
155,1.0,2.0,62.0,1.0,2016-12-03,5.9,0.0,-37.7761,144.9201,467000.0,6567.0,2,3,1980.0
156,2.0,3.0,174.0,2.0,2017-03-04,5.9,277.0,-37.7777,144.9221,1380000.0,6567.0,3,2,1910.0
157,1.0,2.0,62.0,1.0,2017-03-04,5.9,423.0,-37.7736,144.9015,490000.0,6567.0,2,3,1970.0
158,3.0,4.0,270.0,1.0,2017-03-04,5.9,478.0,-37.7729,144.9179,1850000.0,6567.0,4,2,1900.0
159,2.0,3.0,128.0,2.0,2016-06-04,5.9,285.0,-37.775,144.9091,971000.0,6567.0,3,2,1900.0
160,1.0,2.0,77.0,1.0,2016-06-04,5.9,214.0,-37.7776,144.9142,710000.0,6567.0,2,2,1890.0
161,3.0,6.0,435.0,2.0,2016-06-04,5.9,1014.0,-37.7721,144.9184,2425000.0,6567.0,6,2,1887.0
162,1.0,2.0,92.0,1.0,2016-06-04,5.9,226.0,-37.7745,144.9093,750000.0,6567.0,2,2,1920.0
163,1.0,2.0,109.0,1.0,2016-08-06,5.9,269.0,-37.7748,144.929,1053000.0,6567.0,2,2,1900.0
164,1.0,3.0,168.0,1.0,2016-08-06,5.9,417.0,-37.7756,144.9208,1377000.0,6567.0,3,2,1900.0
165,1.0,3.0,125.0,2.0,2016-05-07,5.9,350.0,-37.7759,144.91,970000.0,6567.0,3,2,1904.0
166,1.0,2.0,79.0,1.0,2016-05-07,5.9,118.0,-37.7807,144.9288,751000.0,6567.0,2,2,1890.0
167,1.0,2.0,102.0,1.0,2016-05-07,5.9,173.0,-37.7731,144.9206,950000.0,6567.0,2,2,1900.0
168,1.0,2.0,90.0,2.0,2016-11-07,5.9,228.0,-37.7718,144.9066,685000.0,6567.0,2,3,1995.0
169,1.0,4.0,148.0,2.0,2016-10-08,5.9,594.0,-37.7819,144.9064,1230000.0,6567.0,3,2,1960.0
170,1.0,2.0,87.0,1.0,2016-09-10,5.9,226.0,-37.7774,144.9186,770000.0,6567.0,2,2,1900.0
171,1.0,4.0,185.0,1.0,2016-12-10,5.9,300.0,-37.7766,144.9143,890000.0,6567.0,4,2,1890.0
172,1.0,3.0,131.0,1.0,2017-02-11,5.9,487.0,-37.7725,144.9146,1440000.0,6567.0,3,2,1900.0
173,2.0,3.0,120.0,2.0,2016-11-12,5.9,440.0,-37.7746,144.9031,1000000.0,6567.0,3,2,1955.0
174,2.0,3.0,147.0,2.0,2016-11-12,5.9,532.0,-37.7737,144.904,1435000.0,6567.0,3,2,1950.0
175,1.0,1.0,58.0,1.0,2016-11-12,5.9,0.0,-37.7723,144.9094,390000.0,6567.0,1,3,1972.0
176,2.0,3.0,139.0,2.0,2016-08-13,5.9,495.0,-37.7821,144.9055,1425000.0,6567.0,3,2,1920.0
177,2.0,3.0,232.0,2.0,2016-05-14,5.9,683.0,-37.775,144.932,1340000.0,6567.0,4,2,1978.0
178,1.0,3.0,117.0,1.0,2016-05-14,5.9,263.0,-37.7753,144.9116,955000.0,6567.0,3,2,1910.0
179,2.0,4.0,195.0,5.0,2016-10-15,5.9,559.0,-37.7791,144.9136,1100000.0,6567.0,4,2,1920.0
180,1.0,2.0,62.0,1.0,2016-10-15,5.9,0.0,-37.773,144.9303,432000.0,6567.0,2,3,1978.0
181,3.0,4.0,204.0,2.0,2016-04-16,5.9,562.0,-37.782,144.903,1640000.0,6567.0,4,2,1890.0
182,2.0,4.0,286.0,1.0,2016-04-16,5.9,461.0,-37.78,144.9295,1430000.0,6567.0,6,2,1900.0
183,1.0,2.0,104.0,1.0,2016-04-16,5.9,301.0,-37.7791,144.914,610000.0,6567.0,2,3,1995.0
184,3.0,3.0,127.0,1.0,2016-04-16,5.9,491.0,-37.7727,144.9136,940000.0,6567.0,3,2,1950.0
185,1.0,3.0,110.0,1.0,2016-07-16,5.9,242.0,-37.7765,144.9114,890000.0,6567.0,3,2,1920.0
186,2.0,3.0,149.0,2.0,2016-09-17,5.9,617.0,-37.7742,144.906,1180000.0,6567.0,3,2,1930.0
187,2.0,4.0,180.0,2.0,2016-09-17,5.9,597.0,-37.7757,144.9088,1480000.0,6567.0,4,2,1939.0
188,2.0,2.0,132.0,1.0,2017-03-18,5.9,146.0,-37.7713,144.9038,865000.0,6567.0,2,4,2015.0
189,1.0,2.0,62.0,1.0,2016-06-18,5.9,0.0,-37.7733,144.9219,442000.0,6567.0,2,3,1975.0
190,1.0,3.0,110.0,2.0,2016-11-19,5.9,506.0,-37.7779,144.9133,1037500.0,6567.0,3,2,1920.0
191,2.0,3.0,160.0,2.0,2016-11-19,5.9,318.0,-37.7744,144.9035,1050000.0,6567.0,3,4,2013.0
192,1.0,2.0,65.0,1.0,2016-11-19,5.9,0.0,-37.7749,144.9137,440000.0,6567.0,2,3,1970.0
193,2.0,4.0,158.0,0.0,2016-05-22,5.9,418.0,-37.7766,144.9187,1430000.0,6567.0,4,2,1900.0
194,2.0,3.0,157.0,1.0,2016-04-23,5.9,272.0,-37.7774,144.928,1130000.0,6567.0,3,2,1900.0
195,1.0,3.0,104.0,1.0,2016-09-24,5.9,296.0,-37.777,144.9176,1135000.0,6567.0,3,2,1910.0
196,2.0,4.0,147.0,1.0,2016-09-24,5.9,298.0,-37.7778,144.9131,950000.0,6567.0,4,2,1920.0
197,1.0,2.0,69.0,1.0,2017-02-25,5.9,1957.0,-37.7731,144.9074,390000.0,6567.0,2,3,2012.0
198,1.0,4.0,155.0,1.0,2017-02-25,5.9,552.0,-37.7769,144.9138,1345000.0,6567.0,4,2,1920.0
199,2.0,3.0,168.0,2.0,2017-02-25,5.9,416.0,-37.7727,144.9055,1381500.0,6567.0,3,2,1900.0
200,2.0,3.0,172.0,2.0,2016-07-26,5.9,285.0,-37.7778,144.9061,940000.0,6567.0,3,2,2011.0
201,2.0,3.0,177.0,1.0,2016-07-26,5.9,314.0,-37.7778,144.9042,995000.0,6567.0,3,2,2010.0
202,2.0,3.0,120.0,1.0,2016-07-26,5.9,576.0,-37.7816,144.9217,786000.0,6567.0,3,2,1940.0
203,1.0,2.0,108.0,3.0,2016-06-27,5.9,252.0,-37.7825,144.9206,705000.0,6567.0,2,2,1910.0
204,1.0,2.0,77.0,1.0,2016-06-27,5.9,124.0,-37.7807,144.9285,760000.0,6567.0,2,2,1900.0
205,2.0,3.0,144.0,2.0,2016-11-27,5.9,200.0,-37.7766,144.9277,1000000.0,6567.0,3,4,2003.0
206,1.0,2.0,166.0,1.0,2016-05-28,5.9,278.0,-37.7768,144.9223,1305000.0,6567.0,3,2,1900.0
207,1.0,3.0,175.0,1.0,2016-08-28,5.9,452.0,-37.7762,144.9174,1215000.0,6567.0,3,2,1960.0
208,1.0,2.0,71.0,2.0,2016-08-28,5.9,194.0,-37.7772,144.9118,545000.0,6567.0,2,3,1900.0
209,2.0,4.0,273.0,4.0,2016-07-30,5.9,598.0,-37.7774,144.9104,1705000.0,6567.0,4,2,2012.0
210,3.0,4.0,399.0,2.0,2016-09-03,11.0,753.0,-37.8669,145.0767,2650000.0,3052.0,4,2,2015.0
211,2.0,3.0,220.0,2.0,2016-12-03,11.0,599.0,-37.8673,145.0688,1670000.0,3052.0,3,2,1930.0
212,3.0,3.0,315.0,4.0,2016-12-03,11.0,310.0,-37.874,145.0714,2050000.0,3052.0,3,4,2014.0
213,2.0,3.0,149.0,2.0,2016-06-04,11.0,731.0,-37.8666,145.0676,1555000.0,3052.0,3,2,1935.0
214,3.0,3.0,178.0,2.0,2016-10-08,11.0,276.0,-37.8699,145.0778,1100000.0,3052.0,3,2,2004.0
215,1.0,3.0,112.0,2.0,2016-10-08,11.0,583.0,-37.8685,145.0786,1337000.0,3052.0,3,2,1950.0
216,7.0,9.0,618.0,4.0,2016-09-10,11.0,1472.0,-37.8729,145.0788,2950000.0,3052.0,8,2,2009.0
217,2.0,3.0,145.0,2.0,2016-09-10,11.0,516.0,-37.8675,145.0668,1518000.0,3052.0,3,2,1920.0
218,1.0,3.0,101.0,2.0,2016-12-10,11.0,806.0,-37.8695,145.084,1710000.0,3052.0,3,2,1950.0
